Attraction,Themes,Tour Destination,City
Castle of Good Hope,"Museum,",Castle of Good Hope,Cape Town
Castle Park,,Castle Park,Los Angeles
Castlerigg Stone Circle,,Castlerigg Stone Circle,The Lake District
Castries Central Market,,Castries Central Market,Castries
Castro,"Museum,National Park,",Castro,Isla Grande de Chiloe
Cat Ba island,"National Park,Outdoor Activities,Water Sports,",Cat Ba island,Hanoi
Catania,"Museum,World Heritage Site,",Catania,Sicily
Cathedral Metropolitana,,Cathedral Metropolitana,Buenos Aires
Cathedral of Christ the Saviour,"Museum,",Cathedral of Christ the Saviour,Moscow
Cathedral of Santa Maria,,Cathedral of Santa Maria,Santo Domingo
Cathedral of St Nicholas,,Cathedral of St Nicholas,Ljubljana
Cathedral of the Assumption,,Cathedral of the Assumption,Louisville
Cathedral Quarter,,Cathedral Quarter,Belfast
Cathedral Treasury,,Cathedral Treasury,Dubrovnik
Cattle Raisers Museum,"Museum,",Cattle Raisers Museum,Dallas-Fort Worth
Caves of Xaghra,,Caves of Xaghra,Gozo
Caw Caw Interpretive Center and Charleston County Park,"Outdoor Activities,",Caw Caw Interpretive Center and Charleston County Park,Charleston
Cayo Largo Del Sur,"Water Sports,",Cayo Largo Del Sur,Havana
Cedar Point Amusement Park,,Cedar Point Amusement Park,Cleveland
Celebrity Gravesites,,Celebrity Gravesites,Los Angeles
Central Kalahari Game Reserve,,Central Kalahari Game Reserve,Gaborone
Central Market,,Central Market,Maputo
Central Market,,Central Market,Riga
Central Market,"Food Tour,",Central Market,Zanzibar
Central Market (Psah Thmay),,Central Market (Psah Thmay),Phnom Penh
Central Park,,Central Park,New York City
Central Park Zoo,,Central Park Zoo,New York City
Centre Le Corbusier,"Museum,",Centre Le Corbusier,Zurich
Cerro San Cristóbal,"Outdoor Activities,",Cerro San Cristóbal,Santiago
Ceský Krumlov,"Museum,World Heritage Site,",Ceský Krumlov,Prague
Chain Bridge,,Chain Bridge,Budapest
Chain of Lakes,,Chain of Lakes,Minneapolis-St Paul
Chairman Mao Mausoleum,"Museum,",Chairman Mao Mausoleum,Beijing
Chandni Chowk,,Chandni Chowk,Delhi
Changdeokgung,"World Heritage Site,",Changdeokgung,Seoul
Changi Museum,"Museum,",Changi Museum,Singapore
Changu Narayan Temple,"World Heritage Site,",Changu Narayan Temple,Kathmandu
Chapmans Peak,"National Park,Outdoor Activities,",Chapmans Peak,Cape Town
Charles Bridge (Karluv Most),,Charles Bridge (Karluv Most),Prague
Charleston Museum,"Museum,",Charleston Museum,Charleston
Charlestown,"Museum,",Charlestown,Nevis
Charlotte Amalie,"Museum,",Charlotte Amalie,St Thomas
Charlottenburg Palace,"Museum,",Charlottenburg Palace,Berlin
Château dAngers,"Museum,",Château dAngers,Loire Valley
Château de Chambord,,Château de Chambord,Loire Valley
Château de Chenonceau,"Museum,",Château de Chenonceau,Loire Valley
Château de Chillon,,Château de Chillon,Geneva
Château dIf,,Château dIf,Marseille
Château dUssé,,Château dUssé,Loire Valley
Château-Thierry,"Museum,",Château-Thierry,Champagne Country
Châteauneuf-du-Pape,,Châteauneuf-du-Pape,Provence
Chatsworth House,"National Park,",Chatsworth House,Manchester
Chattanooga,"Museum,Sky Activities,",Chattanooga,Nashville
Chatuchak Market,,Chatuchak Market,Bangkok
Checkpoint Charlie,"Museum,",Checkpoint Charlie,Berlin
Cheddar Gorge,"Museum,",Cheddar Gorge,Southwest England
Chefchaouen,"Outdoor Activities,",Chefchaouen,Tangier
Chengdu Panda Breeding and Research Center,"Museum,",Chengdu Panda Breeding and Research Center,Chengdu
Chessington World of Adventures,,Chessington World of Adventures,London
Chiang Kai-shek Memorial Park,,Chiang Kai-shek Memorial Park,Taipei
Chiang Mai City Arts and Cultural Center,,Chiang Mai City Arts and Cultural Center,Chiang Mai
Chiang Mai Temples,,Chiang Mai Temples,Chiang Mai
Chiang Mai Zoo,,Chiang Mai Zoo,Chiang Mai
Chiang Rai Temples,,Chiang Rai Temples,Chiang Rai
Chianti Region,,Chianti Region,Tuscany
Chicago Beaches,,Chicago Beaches,Chicago
Chicago Botanic Gardens,,Chicago Botanic Gardens,Chicago
Chicago Childrens Museum,"Museum,",Chicago Childrens Museum,Chicago
Chicago Field Museum,"Museum,",Chicago Field Museum,Chicago
Chicago History Museum,"Museum,",Chicago History Museum,Chicago
Chicago Loop,,Chicago Loop,Chicago
Chichen Itza,,Chichen Itza,Cancun
Chico Hot Springs,"Outdoor Activities,Water Sports,",Chico Hot Springs,Billings
Chiemsee,,Chiemsee,Munich
Childrens City,,Childrens City,Dubai
Childrens Fairyland,,Childrens Fairyland,San Francisco
Chilean Museum of Pre-Columbian Art,"Museum,",Chilean Museum of Pre-Columbian Art,Santiago
Chilean Tierra del Fuego,"Outdoor Activities,",Chilean Tierra del Fuego,Chilean Patagonia
Chimelong,,Chimelong,Guangzhou
Chinatown,,Chinatown,Vancouver
Chinatown,"Museum,",Chinatown,San Francisco
Chinatown,,Chinatown,Kuala Lumpur
Chinatown,,Chinatown,Singapore
Chinese and Japanese Gardens,"Museum,",Chinese and Japanese Gardens,Singapore
Chobe National Park,,Chobe National Park,Okavango Delta
Choco-Story Museum,"Museum,",Choco-Story Museum,Bruges
Choeung Ek (The Killing Fields),"Museum,",Choeung Ek (The Killing Fields),Phnom Penh
Choirokoitia,"Museum,World Heritage Site,",Choirokoitia,Larnaca
Cholon,,Cholon,Ho Chi Minh City
Christchurch Gondola,,Christchurch Gondola,Christchurch
Christchurch Picture Gallery,,Christchurch Picture Gallery,Oxford
Christchurch Tramway,"Museum,",Christchurch Tramway,Christchurch
Christiansborg Palace,,Christiansborg Palace,Copenhagen
Christiansted,,Christiansted,St Croix
Christuskirche,,Christuskirche,Windhoek
Church of Ayios Lazaros,,Church of Ayios Lazaros,Larnaca
Church of San Francisco,"World Heritage Site,",Church of San Francisco,Lima
Church of St Mary the Great,,Church of St Mary the Great,Cambridge
Church of the Holy Sepulchre,"Museum,",Church of the Holy Sepulchre,Jerusalem
Church Tower of Shandon,,Church Tower of Shandon,Cork
Churches of Thessaloniki,,Churches of Thessaloniki,Thessaloniki
Churchill Downs,"Museum,",Churchill Downs,Louisville
Cigar Factories,,Cigar Factories,Havana
Cinque Terre,"National Park,World Heritage Site,",Cinque Terre,Milan
Citadel,"Museum,World Heritage Site,",Citadel,Halifax
Citadel Hill,"Museum,",Citadel Hill,Amman
Citadel or Tower of David,"Museum,",Citadel or Tower of David,Jerusalem
Cite De Lespace,,Cite De Lespace,Toulouse
City of Arts and Science,"Museum,",City of Arts and Science,Valencia
City of Caves,,City of Caves,Nottingham
City of old Diriyah,,City of old Diriyah,Riyadh
Ciudad del Este,,Ciudad del Este,Asuncion
Ciudad Vieja,,Ciudad Vieja,Montevideo
Ciutadella de Menorca,,Ciutadella de Menorca,Minorca
Clervaux,"Museum,",Clervaux,Luxembourg-Ville
Cliffs of Moher,,Cliffs of Moher,Galway
Clinton Presidential Center,"Museum,",Clinton Presidential Center,Little Rock
Clonmacnoise,"Museum,",Clonmacnoise,Dublin
CN Tower,,CN Tower,Toronto
Cockington Green,,Cockington Green,Canberra
Codzilla,,Codzilla,Boston
Coffee Bay,"Outdoor Activities,Water Sports,",Coffee Bay,Transkei
Coffin Island,"Museum,Outdoor Activities,Water Sports,",Coffin Island,Ponce
Coit Tower,,Coit Tower,San Francisco
Colaba,"Museum,",Colaba,Mumbai
Colmar,"Museum,",Colmar,Alsace Lorraine
Colombo National Museum,"Museum,World Heritage Site,",Colombo National Museum,Colombo
Colombo Zoological Gardens,,Colombo Zoological Gardens,Colombo
Colonia del Sacramento,"World Heritage Site,",Colonia del Sacramento,Montevideo
Colonial City,"Museum,",Colonial City,Santo Domingo
Colonial Michilimackinac,,Colonial Michilimackinac,Mackinaw City
Colossal Cave Mountain Park,,Colossal Cave Mountain Park,Tucson
Columbia Icefields,"National Park,",Columbia Icefields,Canadian Rocky Mountains
Columbus Lighthouse Monument,,Columbus Lighthouse Monument,Santo Domingo
Colva,,Colva,Goa
Commercial Drive,,Commercial Drive,Vancouver
Concertgebouw,,Concertgebouw,Amsterdam
Coney Island,"Museum,",Coney Island,New York City
Confederation Centre for the Arts,"Museum,",Confederation Centre for the Arts,Charlottetown
Confederation Trail,"Water Sports,",Confederation Trail,Charlottetown
Congress Avenue Bridge,,Congress Avenue Bridge,Austin
Connemara,"National Park,Outdoor Activities,",Connemara,Galway
Conques,,Conques,Dordogne and Lot
Constantia,"Museum,",Constantia,Cape Winelands
Constitution Hill,"World Heritage Site,",Constitution Hill,Johannesburg
Coober Pedy,"Museum,",Coober Pedy,Adelaide
Cooks Cottage,,Cooks Cottage,Melbourne
Cooperative Mines of Cerro Rico,,Cooperative Mines of Cerro Rico,Potosi
Copacabana,,Copacabana,Rio de Janeiro
COPE Visitors Centre,,COPE Visitors Centre,Vientiane
Copenhagen Historical Museums,"Museum,",Copenhagen Historical Museums,Copenhagen
Copenhagen Zoo,,Copenhagen Zoo,Copenhagen
Coptic Church of St. George (Mari Girgis),,Coptic Church of St. George (Mari Girgis),Cairo
Coral Castle,,Coral Castle,Miami
Coral World,"Water Sports,",Coral World,St Thomas
Corcovado,,Corcovado,Rio de Janeiro
Corfu Archaeological Museum,"Museum,",Corfu Archaeological Museum,Corfu
Coricancha Inca Ruins,"Museum,",Coricancha Inca Ruins,Cuzco
Coroico,"Outdoor Activities,",Coroico,La Paz
Coronado Island,"Museum,",Coronado Island,San Diego
Corregidor,"Museum,",Corregidor,Manila
Corte,"Museum,Outdoor Activities,",Corte,Corsica
Cortona,"Museum,",Cortona,Tuscany
Costa Smeralda,,Costa Smeralda,Sardinia
Côte dAzur Beaches,"National Park,",Côte dAzur Beaches,Cote d Azur
Cotopaxi National Park,"Museum,National Park,Outdoor Activities,",Cotopaxi National Park,Quito
Country Music Hall of Fame and Museum,"Museum,",Country Music Hall of Fame and Museum,Nashville
County Kerry,"National Park,Outdoor Activities,",County Kerry,Cork
Cova de Can Marca,,Cova de Can Marca,Ibiza
Covered Bazaar (Kapali Çarsi),,Covered Bazaar (Kapali Çarsi),Istanbul
Coyaba River Garden and Museum,"Museum,",Coyaba River Garden and Museum,Ocho Rios
Cradle Mountain,"National Park,World Heritage Site,",Cradle Mountain,Hobart
Cradle of Humankind and Maropeng Visitor Centre,"Museum,World Heritage Site,",Cradle of Humankind and Maropeng Visitor Centre,Johannesburg
Crandon Park Beach,,Crandon Park Beach,Miami
Crane Point,"Museum,",Crane Point,Florida Keys
Crans-Montana,"Museum,Outdoor Activities,",Crans-Montana,Swiss Alps
Craters of the Moon,,Craters of the Moon,Boise
Crawford Market,,Crawford Market,Mumbai
Crazy Horse Memorial,"Museum,",Crazy Horse Memorial,Black Hills
Creekside Park,,Creekside Park,Dubai
Cresswell Crags,"Museum,",Cresswell Crags,Nottingham
Crete Aquarium,,Crete Aquarium,Crete
Cristo Rei,,Cristo Rei,Lisbon
Croatian History Museum,"Museum,",Croatian History Museum,Zagreb
Croatian National Theatre,,Croatian National Theatre,Zagreb
Crocodylus Park and Zoo,"Museum,",Crocodylus Park and Zoo,Darwin
Crook Hall,,Crook Hall,Durham
Croydon in the Mountains,,Croydon in the Mountains,Montego Bay
Crypt of Saint Vicente,"Museum,",Crypt of Saint Vicente,Valencia
Crystal Caves,,Crystal Caves,Hamilton
Cu Chi Tunnels,,Cu Chi Tunnels,Ho Chi Minh City
Cubbon Park,"Museum,",Cubbon Park,Bengaluru
Cuenca,"Museum,",Cuenca,Quito
Cuenca,"Museum,World Heritage Site,",Cuenca,Madrid
Cueva del Indio,"Museum,Outdoor Activities,",Cueva del Indio,Vinales Valley
Culebra and Vieques,"Outdoor Activities,Water Sports,",Culebra and Vieques,Fajardo
Custer National Forest,"National Park,Outdoor Activities,",Custer National Forest,Billings
Cyprus Archaeological Museum,"Museum,",Cyprus Archaeological Museum,Nicosia
Cyprus Medieval Museum,"Museum,",Cyprus Medieval Museum,Limassol
D-Day Beaches,,D-Day Beaches,Normandy
Dachau Memorial Site,"Museum,",Dachau Memorial Site,Munich
Dagomys,"Outdoor Activities,",Dagomys,Sochi
Dahshur,,Dahshur,Cairo
Daintree Rainforest Discovery Centre,"National Park,Outdoor Activities,World Heritage Site,",Daintree Rainforest Discovery Centre,Cairns
Dallas Heritage Village,"Museum,",Dallas Heritage Village,Dallas-Fort Worth
Dallas Holocaust Museum,"Museum,",Dallas Holocaust Museum,Dallas-Fort Worth
Dam Sen Water Park,,Dam Sen Water Park,Ho Chi Minh City
Dambulla Cave Temples,"World Heritage Site,",Dambulla Cave Temples,Cultural Triangle
Damnoen Saduak Floating Market,,Damnoen Saduak Floating Market,Bangkok
Dan-yr-Ogof Caves,"Museum,National Park,",Dan-yr-Ogof Caves,Brecon Beacons
Dandenong Ranges National Park,"National Park,",Dandenong Ranges National Park,Melbourne
Dar el Makhzen,"Museum,",Dar el Makhzen,Tangier
Darien,"Museum,Water Sports,",Darien,Savannah
Darling,"Museum,",Darling,West Coast
Darling Harbour,"Museum,",Darling Harbour,Sydney
Davenport House,,Davenport House,Savannah
Dazaifu,,Dazaifu,Fukuoka
Deadwood,"Museum,",Deadwood,Black Hills
Death Valley National Park,,Death Valley National Park,Los Angeles
Deauville,,Deauville,Normandy
Deckchair Cinema,,Deckchair Cinema,Darwin
DeGrazia Gallery in the Sun,"Museum,",DeGrazia Gallery in the Sun,Tucson
Delaware Art Museum,"Museum,",Delaware Art Museum,Wilmington
Delaware Museum of Natural History,"Museum,",Delaware Museum of Natural History,Wilmington
Delos,"Museum,World Heritage Site,",Delos,Mykonos
Delphi,"Museum,",Delphi,Athens
Denali National Park and Preserve,"National Park,Outdoor Activities,Water Sports,",Denali National Park and Preserve,Anchorage
Denmark Aquarium,"Museum,",Denmark Aquarium,Copenhagen
Denver Art Museum,"Museum,",Denver Art Museum,Denver
Denver Mint,"Museum,",Denver Mint,Denver
Denver Museum of Nature and Science,"Museum,",Denver Museum of Nature and Science,Denver
Derek Walcott Square,,Derek Walcott Square,Castries
Desert Botanical Garden,,Desert Botanical Garden,Phoenix
Desert Castle Loop,"World Heritage Site,",Desert Castle Loop,Amman
Desert Safari,,Desert Safari,Dubai
Detroit Historical Museum,"Museum,",Detroit Historical Museum,Detroit
Detroit Institute of Arts,"Museum,",Detroit Institute of Arts,Detroit
Deutsches Museum,"Museum,",Deutsches Museum,Munich
Devils Pool,,Devils Pool,Victoria Falls
Devin Castle,,Devin Castle,Bratislava
Devon House,,Devon House,Kingston
Devonport,"Museum,National Park,",Devonport,Hobart
Dharamsala,,Dharamsala,Amritsar
Dhobi Ghat,,Dhobi Ghat,Mumbai
Diamond Head Crater,"Outdoor Activities,",Diamond Head Crater,Honolulu
Dig This,,Dig This,Las Vegas
Dinard,,Dinard,Brittany
Dinkelsbühl,"Museum,",Dinkelsbühl,The Romantic Road
Dinosaur National Monument,"Outdoor Activities,Water Sports,",Dinosaur National Monument,Salt Lake City
Dinosaur National Monument,"Outdoor Activities,Water Sports,",Dinosaur National Monument,Denver
Diocletians Palace,"World Heritage Site,",Diocletians Palace,Split
Discovery Cove Orlando,,Discovery Cove Orlando,Orlando
Discovery Sphere Planetarium,"Museum,",Discovery Sphere Planetarium,Istanbul
Disneyland Paris,,Disneyland Paris,Paris
Disneyland Resort,,Disneyland Resort,Los Angeles
Distillery Historic District,"World Heritage Site,",Distillery Historic District,Toronto
District Six Museum,"Museum,",District Six Museum,Cape Town
Dive Sites,"Water Sports,",Dive Sites,Mahe
Dive Sites,"Water Sports,",Dive Sites,St Kitts
Djemaa el-Fna,,Djemaa el-Fna,Marrakech
DMZ (Demilitarised Zone) and Vinh Moc,"Museum,",DMZ (Demilitarised Zone) and Vinh Moc,Hue
Doctors Cave Beach,,Doctors Cave Beach,Montego Bay
Doha Corniche,"Museum,",Doha Corniche,Doha
Doha Fort (Al Koot),,Doha Fort (Al Koot),Doha
Doha Souqs,,Doha Souqs,Doha
Doi Suthep,,Doi Suthep,Chiang Mai
Doi Tung Royal Villa,"Museum,",Doi Tung Royal Villa,Chiang Rai
Dokmai Garden,,Dokmai Garden,Chiang Mai
Dolmabahce Palace,,Dolmabahce Palace,Istanbul
Dolomite Mountains,"Outdoor Activities,World Heritage Site,",Dolomite Mountains,Milan
Dolphin Encounters,,Dolphin Encounters,The Islands
Dolphin Research Center,,Dolphin Research Center,Florida Keys
Dom Cathedral,,Dom Cathedral,Riga
Domaine Les Pailles,"Museum,Outdoor Activities,",Domaine Les Pailles,Port Louis
Dombai,,Dombai,Sochi
Don Harrington Discovery Center,,Don Harrington Discovery Center,Amarillo
Donkey trekking,"Outdoor Activities,",Donkey trekking,Lesvos
Dove Cottage and the William Wordsworth Museum,"Museum,",Dove Cottage and the William Wordsworth Museum,The Lake District
Downtown San Diego,"Museum,",Downtown San Diego,San Diego
Doylestown,"Outdoor Activities,",Doylestown,Philadelphia
Dr Salim Ali Bird Sanctuary,,Dr Salim Ali Bird Sanctuary,Goa
Dr. Ragabs Pharaonic Village,"Museum,",Dr. Ragabs Pharaonic Village,Cairo
Drakensberg Mountains,"National Park,Outdoor Activities,Sky Activities,Water Sports,",Drakensberg Mountains,Durban
Drayton Manor Theme Park,,Drayton Manor Theme Park,Birmingham
Dream Park,,Dream Park,Cairo
Dubai Aquarium & Underwater Zoo,,Dubai Aquarium & Underwater Zoo,Dubai
Dubai Creek,,Dubai Creek,Dubai
Dubai Dolphinarium,,Dubai Dolphinarium,Dubai
Dubai Mall,,Dubai Mall,Dubai
Dubai Museum,"Museum,Water Sports,",Dubai Museum,Dubai
Dubai Souks,,Dubai Souks,Dubai
Dublin Castle,,Dublin Castle,Dublin
Dublin Zoo,"Outdoor Activities,",Dublin Zoo,Dublin
Dubrovnik City Walls,,Dubrovnik City Walls,Dubrovnik
Dubrovnik Port,"World Heritage Site,",Dubrovnik Port,Dubrovnik
Dubrovnik Riviera,,Dubrovnik Riviera,Dubrovnik
Ducal Mansion (Nottingham Castle),"Museum,",Ducal Mansion (Nottingham Castle),Nottingham
Dudhsagar Waterfall,"Outdoor Activities,",Dudhsagar Waterfall,Goa
Dumfries,"Museum,",Dumfries,Edinburgh
Dundee,"Museum,",Dundee,Edinburgh
Dunns River Falls and Dolphin Cove,,Dunns River Falls and Dolphin Cove,Ocho Rios
Duomo di Milano (Milan Cathedral),"Museum,",Duomo di Milano (Milan Cathedral),Milan
Duomo San Gennaro,,Duomo San Gennaro,Naples
Durban Botanic Gardens,,Durban Botanic Gardens,Durban
Durbar Square,"Museum,World Heritage Site,",Durbar Square,Kathmandu
Durham Castle,"World Heritage Site,",Durham Castle,Durham
Durham Cathedral,"World Heritage Site,",Durham Cathedral,Durham
Durham Heritage Centre,"Museum,World Heritage Site,",Durham Heritage Centre,Durham
Dusit Zoo,"Museum,",Dusit Zoo,Bangkok
Dutch Country,,Dutch Country,Philadelphia
Dutch Forts,,Dutch Forts,Philipsburg
Duthie Park,,Duthie Park,Aberdeen
Ebenezer Baptist Church,,Ebenezer Baptist Church,Atlanta
Echternach,"Museum,Outdoor Activities,",Echternach,Luxembourg-Ville
Edinburgh Castle,,Edinburgh Castle,Edinburgh
Edinburgh Dungeon,,Edinburgh Dungeon,Edinburgh
Edinburgh Festival Theatre,,Edinburgh Festival Theatre,Edinburgh
Edinburgh Zoo,,Edinburgh Zoo,Edinburgh
Edison and Ford Winter Estates,,Edison and Ford Winter Estates,Gulf Coast
Edo-Tokyo Museum,"Museum,",Edo-Tokyo Museum,Tokyo
Eftalou Thermal Baths,,Eftalou Thermal Baths,Lesvos
Efteling,"Water Sports,",Efteling,Amsterdam
Eger Castle,"Museum,",Eger Castle,Eger
Egyptian Museum of Antiquities,"Museum,",Egyptian Museum of Antiquities,Cairo
Eiffel Tower,,Eiffel Tower,Paris
Eilat,"National Park,Outdoor Activities,Water Sports,",Eilat,Tel Aviv
Einar Jónsson Museum,"Museum,",Einar Jónsson Museum,Reykjavik
Eiteljorg Museum of American Indians and Western Art,"Museum,",Eiteljorg Museum of American Indians and Western Art,Indianapolis
El Badi Palace,,El Badi Palace,Marrakech
El Carmen,"Museum,",El Carmen,Valencia
El Cotillo,"Museum,Water Sports,",El Cotillo,Fuerteventura
El Malécon,,El Malécon,Havana
El Mitad del Mundo,"Museum,",El Mitad del Mundo,Quito
El Rancho de las Golondrinas,,El Rancho de las Golondrinas,Santa Fe
El Raval,"Museum,",El Raval,Barcelona
El Tatio Geysers,,El Tatio Geysers,San Pedro de Atacama
El Zocalo,,El Zocalo,Mexico City
Elafiti Islands,,Elafiti Islands,Dubrovnik
Elche,"Museum,World Heritage Site,",Elche,Costa Blanca
Eleko Beach,,Eleko Beach,Lagos
Elephant Cave,"World Heritage Site,",Elephant Cave,Bali
Elephant Trunk Hill,"Water Sports,",Elephant Trunk Hill,Guilin
Elephanta Caves,"World Heritage Site,",Elephanta Caves,Mumbai
Eleuthera Island,"Water Sports,",Eleuthera Island,The Islands
Elfsborg Fortress,,Elfsborg Fortress,Gothenburg
Elitch Gardens Theme Park,,Elitch Gardens Theme Park,Denver
Ellis Island,"Museum,",Ellis Island,New York City
Elvis Presley Birthplace,"Museum,",Elvis Presley Birthplace,Jackson Mississippi
Emilio Bacardi Moreau Museum,"Museum,",Emilio Bacardi Moreau Museum,Santiago de Cuba
Empire State Building,,Empire State Building,New York City
Encarnacion,"World Heritage Site,",Encarnacion,Asuncion
English Harbour,"National Park,",English Harbour,Antigua
Epernay,,Epernay,Champagne Country
Ephesus,,Ephesus,Aegean Coast
Epidaurus,"Museum,",Epidaurus,Peloponnese Peninsula
Eretz Israel Museum (The Land of Israel Museum),"Museum,",Eretz Israel Museum (The Land of Israel Museum),Tel Aviv
Ernest Hemingway Home and Museum,,Ernest Hemingway Home and Museum,Florida Keys
Ernest Hemingway Museum,"Museum,",Ernest Hemingway Museum,Havana
Esbjerg,"Museum,Water Sports,",Esbjerg,Copenhagen
Eschenheimer Turm,,Eschenheimer Turm,Frankfurt
Espinho,"Museum,Water Sports,",Espinho,Porto
Essaouira,"Water Sports,",Essaouira,Marrakech
Estadio Centenario,"Museum,",Estadio Centenario,Montevideo
Estádio do Maracanã,,Estádio do Maracanã,Rio de Janeiro
Estancias,"Outdoor Activities,",Estancias,Montevideo
Estonian Open Air Museum,,Estonian Open Air Museum,Tallinn
Esztergom,"Museum,",Esztergom,The Danube Bend
Ethan Allen Homestead and Museum,"Outdoor Activities,",Ethan Allen Homestead and Museum,Burlington
Ethnographic Museum,"Museum,",Ethnographic Museum,Ankara
Ethnographic Museum (former Folk Art Museum),"Museum,",Ethnographic Museum (former Folk Art Museum),Nicosia
Etruscan Sites,"Museum,",Etruscan Sites,Tuscany
Eudora Welty House,"Museum,",Eudora Welty House,Jackson Mississippi
Eugene,"Museum,Water Sports,",Eugene,Portland Oregon
Eureka Tower,,Eureka Tower,Melbourne
European Park,,European Park,Vilnius
Everglades National Park,"National Park,World Heritage Site,",Everglades National Park,Miami
Everland,"Outdoor Activities,",Everland,Seoul
Evian-les-Bains,"Museum,Outdoor Activities,Water Sports,",Evian-les-Bains,French Alps
Evora,"World Heritage Site,",Evora,Lisbon
Experience Music Project,"Museum,",Experience Music Project,Seattle
Experimentarium,"Museum,",Experimentarium,Copenhagen
Exploratorium,"Museum,",Exploratorium,San Francisco
Exumas Islands,"Sky Activities,",Exumas Islands,The Islands
Èze,,Èze,Cote d Azur
Fado Bars,,Fado Bars,Lisbon
Faial,,Faial,The Azores
Fairmont Empress Hotel,"Museum,",Fairmont Empress Hotel,Vancouver Island
Falkirk Wheel,,Falkirk Wheel,Edinburgh
Fallingwater,,Fallingwater,Pittsburgh
Falmouth,,Falmouth,Montego Bay
Faneuil Hall Marketplace,,Faneuil Hall Marketplace,Boston
Fantasy of Flight,,Fantasy of Flight,Orlando
Farish Street Historical District,,Farish Street Historical District,Jackson Mississippi
Fashion Museum,"Museum,",Fashion Museum,Bath
Fasouri Water Mania,,Fasouri Water Mania,Limassol
Fatehpur Sikri,,Fatehpur Sikri,Agra
Fatima,,Fatima,Lisbon
FC Barcelona Museum and Stadium,"Museum,",FC Barcelona Museum and Stadium,Barcelona
Featherdale Wildlife Park,,Featherdale Wildlife Park,Sydney
Federal Bureau of Investigation,"Museum,",Federal Bureau of Investigation,Washington DC
Federation Square,"Museum,",Federation Square,Melbourne
Fenway Park,,Fenway Park,Boston
Fernbank Museum of Natural History,"Museum,",Fernbank Museum of Natural History,Atlanta
Ferrari World,"Museum,",Ferrari World,Abu Dhabi
Ferreries,,Ferreries,Minorca
Figueres,"Museum,",Figueres,Barcelona
Filadelfia,"Museum,",Filadelfia,Asuncion
Filerimos Hill,,Filerimos Hill,Rhodes
Filitosa,"Museum,",Filitosa,Corsica
Finger Lakes,"Outdoor Activities,",Finger Lakes,Western New York State
Firefly,"Museum,",Firefly,Ocho Rios
Fisherman’s Bastion,,Fisherman’s Bastion,Budapest
Fishermans Wharf,"Museum,",Fishermans Wharf,San Francisco
Fjordland National Park,"National Park,Water Sports,",Fjordland National Park,Fjordland
Flamenco at Corral de la Moreria,,Flamenco at Corral de la Moreria,Madrid
Flinders Ranges,"National Park,World Heritage Site,",Flinders Ranges,Adelaide
Floralis Generica,,Floralis Generica,Buenos Aires
Flores,"Museum,",Flores,The Azores
Florida Aquarium,,Florida Aquarium,Tampa
Folk Art Museum,"Museum,",Folk Art Museum,Limassol
Folk Research Centre,"Museum,",Folk Research Centre,Castries
Folklore Museum of Skopelos,"Museum,",Folklore Museum of Skopelos,Skopelos
Fontainebleau,"Museum,",Fontainebleau,Paris
Fontevraud Abbey,,Fontevraud Abbey,Loire Valley
Football Museum,"Museum,",Football Museum,Sao Paulo
Forbidden City,"Museum,World Heritage Site,",Forbidden City,Beijing
Ford’s Theatre,"Museum,",Ford’s Theatre,Washington DC
Foreign Correspondents Club,,Foreign Correspondents Club,Phnom Penh
Forest of Steles,"Museum,",Forest of Steles,Xi An
Forest Park,"Museum,",Forest Park,St Louis
Formentera,,Formentera,Ibiza
Fornells,"Water Sports,",Fornells,Minorca
Fort Area,,Fort Area,Mumbai
Fort Calgary,,Fort Calgary,Calgary
Fort Hamilton,,Fort Hamilton,Hamilton
Fort Jackson,,Fort Jackson,Savannah
Fort Knox,"Museum,",Fort Knox,Louisville
Fort Mackinac,,Fort Mackinac,Mackinaw City
Fort McHenry,"National Park,",Fort McHenry,Baltimore
Fort San Felipe del Morro,,Fort San Felipe del Morro,San Juan
Fort San Pedro,"Museum,",Fort San Pedro,Cebu
Fort St Catherine,"Museum,",Fort St Catherine,Saint George
Fort St Louis,,Fort St Louis,Marigot
Fort Sumter,"Museum,",Fort Sumter,Charleston
Fort William,"Outdoor Activities,",Fort William,The Highlands
Fort Worth Stockyards,"Museum,",Fort Worth Stockyards,Dallas-Fort Worth
Fort Worth Zoo,"Museum,",Fort Worth Zoo,Dallas-Fort Worth
Fortifications,"World Heritage Site,",Fortifications,Quebec City
Fortuna,"National Park,Outdoor Activities,Water Sports,",Fortuna,Northwest Costa Rica
Founders Hall,,Founders Hall,Charlottetown
Fowlers Yard Creative Workspaces,,Fowlers Yard Creative Workspaces,Durham
France Miniature,,France Miniature,Paris
Francis Farewell Square,"Museum,",Francis Farewell Square,Durban
Franciscan Monastery,"Museum,",Franciscan Monastery,Dubrovnik
Frank Lloyd Wrights Home,,Frank Lloyd Wrights Home,Chicago
Frankfort,"Museum,Outdoor Activities,",Frankfort,Louisville
Frankfurt Botanical Gardens,,Frankfurt Botanical Gardens,Frankfurt
Frankfurt Zoo,,Frankfurt Zoo,Frankfurt
Franklin Court,"Museum,",Franklin Court,Philadelphia
Franklin Institute Science Museum,"Museum,",Franklin Institute Science Museum,Philadelphia
Franschhoek,,Franschhoek,Cape Winelands
