"Title","Tour Destination"
"Hotel in North Carolina",",North Carolina,Asheville,Charlotte,North Carolina Coast,Raleigh,,Artspace,Atlantic Beach,Bald Head Island,Blue Ridge Parkway,Great Smoky Mountains National Park,Kitty Hawk,Linville Caverns,North Carolina Museum of Art,North Carolina Museum of Natural Sciences,Wilmington,,"
"Hotel in North Dakota",",North Dakota,Fargo,,,,"
"Hotel in Northern Ireland",",Northern Ireland,Belfast,,Belfast Botanic Gardens and the Ulster Museum,Belfast Zoo,Carrick-a-Rede Rope Bridge,Cathedral Quarter,Giants Causeway,Giants Ring,St Annes Cathedral,St Georges Market,Ulster American Folk Park,,"
"Hotel in Northern Territory",",Northern Territory,Alice Springs,Darwin,Darwin International,Crocodylus Park and Zoo,Deckchair Cinema,Kakadu National Park,Outback Ballooning,Tennant Creek,Uluru - Kata Tjuta National Park,,"
"Hotel in Northwest Territories",",Northwest Territories,Yellowknife,,,,"
"Hotel in Nova Scotia",",Nova Scotia,Halifax,Halifax International,Citadel,Maritime Museum of the Atlantic,Memory Lane Heritage Village,,"
"Hotel in Nunavut",",Nunavut,,,,,"
"Hotel in Ohio",",Ohio,Cleveland,Lake Erie Islands,,Cedar Point Amusement Park,Great Lakes Science Center,Progressive Field,Rock and Roll Hall of Fame,,"
"Hotel in Oklahoma",",Oklahoma,Oklahoma City,Tulsa,,Myriad Botanical Gardens,National Cowboy and Western Heritage Museum,Oklahoma City National Memorial and Museum,Oklahoma City Zoo,Stockyards City,,"
"Hotel in Ontario",",Ontario,Lake Superior and Thunder Bay,Ottawa,Thunder Bay,Toronto,,Amethyst Mine,Canadian Museum of Civilisation,Casa Loma,CN Tower,Distillery Historic District,Gardiner Museum of Ceramics,Gatineau Park,Harbourfront Centre,High Park,Hockey Hall of Fame,Jungle Cat World Wildlife Park,Kensington Market,Lake Superior,Museum of Contemporary Canadian Art,Niagara Falls,Old Fort William,Paramount Canadas Wonderland,Parliament Hill,Royal Ontario Museum,Sleeping Giant Provincial Park,Toronto Islands,Toronto Zoo,,"
"Hotel in Oregon",",Oregon,Portland Oregon,,Cannon Beach,Eugene,Hoyt Arboretum,International Rose Test Garden,Lan Su Chinese Garden,Mount Hood,Museum of Science and Industry,Oregon Zoo,Pearl District,,"
"Hotel in Pennsylvania",",Pennsylvania,Philadelphia,Pittsburgh,,Brandywine Valley,Carnegie Museums,Doylestown,Dutch Country,Fallingwater,Franklin Court,Franklin Institute Science Museum,Gettysburg National Military Park,Hershey’s Chocolate World,Independence National Historical Park,National Aviary,Philadelphia Museum of Art,Philadelphia Zoo,Please Touch Museum,PNC Park,Point State Park,,"
"Hotel in Prince Edward Island",",Prince Edward Island,Charlottetown,,Confederation Centre for the Arts,Confederation Trail,Founders Hall,Green Gables House,,"
"Hotel in Quebec",",Quebec,Montreal,Quebec City,,Battlefields Park (Plains of Abraham),Fortifications,Funicular,LÎle dOrléans,Lower Town (Basse-Ville),Montmorency Falls Park,Montreal Botanical Garden,Montreal Museum of Fine Arts,Old Port of Montreal,Olympic Park,Parliament Buildings,Place Royale,St Joseph’s Oratory,,"
"Hotel in Queensland",",Queensland,Brisbane,Cairns,Fraser Coast,Gold Coast, Queensland,Mackay,Sunshine Coast,Townsville,Whitsunday Islands,,Airlie Beach,Bowling Green Bay National Park,Cape Tribulation,Daintree Rainforest Discovery Centre,Fraser Island,Gondwana Rainforests of Australia,Great Barrier Reef,Hamilton Island,Lone Pine Koala Sanctuary,Magnetic Island,Paronella Park,Reef HQ Aquarium,Riversleigh,Riverway,Sanctuary Cove,Sea World,Skyrail,South Bank,Story Bridge,Surfers Paradise,Tamborine Mountain,The Esplanade,The Gabba,The Strand,Tjapukai Aboriginal Cultural Park,Wet n Wild Water World,Whitehaven Beach,Wildlife Dome,,"
"Hotel in Rhode Island",",Rhode Island,Newport,Providence,Providence Green Airport,Benefit Street,Block Island,International Tennis Hall of Fame,John Brown House,Museum of Newport History,Museum of Yachting,National Museum of American Illustration,Newport Mansions,Rhode Island School of Design Museum,Roger Williams Park Zoo,State Capitol,Touro Synagogue,Waterplace Park,,"
"Hotel in Saskatchewan",",Saskatchewan,Regina,,,,"
"Hotel in Scotland",",Scotland,Aberdeen,Edinburgh,Glasgow,Inverness,Islay,Isle of Arran,Isle of Mull,Outer Hebrides,The Highlands,,Aberdeen Art Gallery,Aberdeen Maritime Museum,Arthurs Seat,Balmoral Castle,Ben Nevis,Brig o Balgownie,Burrell Collection,Dumfries,Dundee,Duthie Park,Edinburgh Castle,Edinburgh Dungeon,Edinburgh Festival Theatre,Edinburgh Zoo,Falkirk Wheel,Fort William,Gallery of Modern Art,Glasgow Cathedral,Glasgow Science Centre,Isle of Skye,Kelvingrove Art Gallery and Museum,Loch Ness,Malt Whisky Trail,Museum of Edinburgh,National Gallery of Scotland,Northern Highlands,Our Dynamic Earth,Palace of Holyrood House,Rosslyn Chapel,Royal Botanic Garden,Royal Mile,Royal Yacht Britannia,Scotch Whisky Experience,St Andrews,Stirling Castle,The Museum of Childhood,,"
"Hotel in South Australia",",South Australia,Adelaide,Adelaide Airport,Adelaide Botanic Garden,Barossa Valley,Coober Pedy,Flinders Ranges,Hahndorf,Kangaroo Island,,"
"Hotel in South Carolina",",South Carolina,Charleston,Grand Strand and Myrtle Beach,,Angel Oak,Caw Caw Interpretive Center and Charleston County Park,Charleston Museum,Fort Sumter,Plantations,Provost Dungeon and Old Exchange Building,South Carolina Aquarium,The Hunley,,"
"Hotel in South Dakota",",South Dakota,Black Hills,,Badlands National Park,Crazy Horse Memorial,Deadwood,Mount Rushmore,,"
"Hotel in Tasmania",",Tasmania,Hobart,Hobart International,Cradle Mountain,Devonport,Louisas Walk,Mount Wellington,Port Arthur,The Wall in the Wilderness,,"
"Hotel in Tennessee",",Tennessee,Memphis,Nashville,,Belle Meade Plantation,Chattanooga,Country Music Hall of Fame and Museum,Graceland,Grand Ole Opry,Great Smoky Mountains National Park,Knoxville,Memphis Botanic Garden,Memphis Rock n Soul Museum,Mud Island River Park,Parthenon,Pink Palace Museum,Ryman Auditorium,Stax Museum of American Soul Music,Sun Studio,Tennessee State Museum,,"
"Hotel in Texas",",Texas,Amarillo,Austin,Dallas-Fort Worth,Galveston,Houston,San Antonio,,Amarillo Museum of Art,Bayou Bend,Buckhorn Saloon and Museum,Cattle Raisers Museum,Congress Avenue Bridge,Dallas Heritage Village,Dallas Holocaust Museum,Don Harrington Discovery Center,Fort Worth Stockyards,Fort Worth Zoo,Governors Mansion,Guadalupe Mountains National Park,Jack S. Blanton Museum of Art,Ladybird Johnson Wildflower Center,Lyndon B. Johnson Space Center,Modern Art Museum of Fort Worth,Museum District,National Museum of Funeral History,Palo Duro Canyon,Riverwalk,Sam Houston Historical Park,Six Flags Fiesta Texas,Six Flags Over Texas,Sixth Floor Museum,Spanish Governors Palace,Texas State Capitol,The Alamo,The Orange Show,Zilker Park,,"
"Hotel in Utah",",Utah,Salt Lake City,Southern National Parks,Salt Lake City International,Dinosaur National Monument,Great Salt Lake,Park City,Pioneer Memorial Museum,Solitude,Temple Square,Tracy Aviary,Utah State Capitol,,"
"Hotel in Vermont",",Vermont,Burlington,Montpelier,Vermont Ski Resorts,Burlington International Airport,Ben and Jerrys Ice Cream Factory,Ethan Allen Homestead and Museum,Lake Champlain Chocolates,,"
"Hotel in Victoria",",Victoria,Melbourne,Phillip Island and Gippsland,Melbourne Airport,A Maze N Things,Agnes Falls Scenic Reserve,Ballarat,Cooks Cottage,Dandenong Ranges National Park,Eureka Tower,Federation Square,Grampians National Park,Great Ocean Road,Melbourne Cricket Ground (MCG),Melbourne Museum,Melbourne Zoo,Old Melbourne Gaol,Phillip Island Circuit,Puffing Billy Railway,Queen Victoria Market,Wilsons Promontory National Park,Yarra River,,"
"Hotel in Virginia",",Virginia,Chincoteague Island,Norfolk,Richmond,Shenandoah Valley,Virginia Coast,,Capitol Square,Lexington,Monticello,Mount Vernon,Museum and White House of the Confederacy,Richmond National Battlefield Park,Shenandoah National Park,St Johns Episcopal Church,Virginia Museum of Fine Arts,Virginia Science Museum,,"
"Hotel in Wales",",Wales,Brecon Beacons,Cardiff,Llandudno,Northern Wales,Swansea,Tenby,Cardiff Airport,Aberystwyth,Caernarfon,Cardiff Castle,Dan-yr-Ogof Caves,Gower Peninsula,Hay-on-Wye,Holyhead,Llandaff Cathedral,Pembrokeshire Coast National Park,Portmeirion,Snowdonia National Park,St Fagans National History Museum,Tintern Abbey,Wales Millennium Centre,,"
"Hotel in Washington DC",",Washington DC,Washington DC,,Federal Bureau of Investigation,Ford’s Theatre,International Spy Museum,Kennedy Center,Lincoln Memorial,National Archives,National Gallery of Art,National Mall,National Zoo,Smithsonian Institution,US Capitol,US Holocaust Memorial Museum,Washington Monument,Washington National Cathedral,White House,,"
"Hotel in Washington",",Washington,Brecon Beacons,Cardiff,Llandudno,Northern Wales,Swansea,Tenby,Cardiff Airport,Aberystwyth,Caernarfon,Cardiff Castle,Dan-yr-Ogof Caves,Gower Peninsula,Hay-on-Wye,Holyhead,Llandaff Cathedral,Pembrokeshire Coast National Park,Portmeirion,Snowdonia National Park,St Fagans National History Museum,Tintern Abbey,Wales Millennium Centre,,"
"Hotel in West Virginia",",West Virginia,Charleston West Virginia,Harpers Ferry,Charleston Airport,,,"
"Hotel in Western Australia",",Western Australia,Perth,Perth International Airport,Fremantle,Goldfields,Karijini National Park,Kings Park and Botanic Garden,London Court,Margaret River,Monkey Mia Resort,Nambung National Park,Valley of the Giants Tree Top Walk,Wildflower Region,,"
"Hotel in Wisconsin",",Wisconsin,Door County,Madison,Milwaukee,,Lambeau Field,Miller Brewing Company,Miller Park,Mitchell Park Horticultural Conservatory,The House on the Rock,Wisconsin Dells,,"
"Hotel in Wyoming",",Wyoming,Cheyenne,Cody,Jackson Wyoming,,Grand Teton National Park,Mill Iron Ranch,Yellowstone National Park,Jackson Hole Mountain Resort,"
"Hotel in Yukon Territory",",Yukon Territory,Whitehorse,,Klondike,Kluane National Park,Muktuk Adventures,,"
"Hotel in Aberdeen","United Kingdom,Scotland,Aberdeen,Aberdeen Airport,Aberdeen Art Gallery,Aberdeen Maritime Museum,Balmoral Castle,Brig o Balgownie,Duthie Park,Malt Whisky Trail,,"
"Hotel in Abu Dhabi","United Arab Emirates,,Abu Dhabi,,Al Hosn Palace (White Fort),Bowling, Paintball and Table Tennis,Ferrari World,Heritage Village,Hili Fun City,Hiltonia Beach Club,Liwa Oasis,Marina Mall Fun City,,"
"Hotel in Adelaide","Australia,South Australia,Adelaide,Adelaide Airport,Adelaide Botanic Garden,Barossa Valley,Coober Pedy,Flinders Ranges,Hahndorf,Kangaroo Island,,"
"Hotel in Albuquerque","United States of America,New Mexico,Albuquerque,Albuquerque International Sunport,Albuquerque Museum,American International Rattlesnake Museum,Carlsbad Caverns,Indian Pueblo Cultural Center,Las Cruces,New Mexico Museum of Natural History and Science,Petroglyph National Monument,Roswell,Sandia Peak Tramway,Turquoise Trail,,"
"Hotel in Alicante","Spain,,Alicante,,,,"
"Hotel in Amarillo","United States of America,Texas,Amarillo,,Amarillo Museum of Art,Don Harrington Discovery Center,Palo Duro Canyon,,"
"Hotel in Amman","Jordan,,Amman,Amman Airport,Citadel Hill,Desert Castle Loop,Jerash,Madaba,Mount Nebo,Roman Theatre,The Dead Sea,,"
"Hotel in Amsterdam","Netherlands,,Amsterdam,Amsterdam Schiphol,Amsterdam Canal Tour,Amsterdam Coffeeshops,Amsterdam Museum,Anne Frank House,Artis Zoo,Concertgebouw,Efteling,Haarlem,Heineken Experience,Hoge Veluwe National Park,Keukenhof,Maastricht,Madurodam,National Maritime Museum,Peace Palace,Red Light District (De Wallen),Rembrandt House,Sex Museum Amsterdam,Stedelijk Museum of Modern Art,The Dutch Resistance Museum (Verzetsmuseum),The Rijksmuseum,The Royal Palace (Koninklijk Paleis),Van Gogh Museum,Vondelpark,,"
"Hotel in Anchorage","United States of America,Alaska,Anchorage,Anchorage International,Alaska Native Heritage Center,Anchorage Museum of History and Art,Denali National Park and Preserve,,"
"Hotel in Ankara","Turkey,,Ankara,Ankara International Airport,Anitkabir,Ethnographic Museum,Mount Ararat,Museum of Anatolian Civilizations,Natural History Museum,Temple of Augustus,,"
"Hotel in Athens","Greece,,Athens,Athens Airport,Acropolis,Allou Fun Park,Ancient Agora,Attica Zoological Gardens,Benaki Museum,Cape Sounion,Delphi,Hellenic Childrens Museum,Kolonaki/Lykavittos Hill,Marathon,Monastery of Daphni,National Archaeological Museum,National Gardens,Piraeus,Plaka,Saronic Islands,Syntagma Square,,"
"Hotel in Atlanta","United States of America,Georgia,Atlanta,Atlanta International Airport,Atlanta Botanical Garden,Atlanta History Center,Ebenezer Baptist Church,Fernbank Museum of Natural History,Georgia Aquarium,Georgia Mountains,High Museum of Art,Imagine It! Childrens Museum of Atlanta,Jonesboro,Kennesaw Mountain Battlefield,Martin Luther King Jr National Historic Site,Monetary Museum at the Federal Reserve Bank,Six Flags Over Georgia,Stone Mountain Park,The Fox Theatre,Turner Field,World Of Coca-Cola,Zoo Atlanta,,"
"Hotel in Auckland","New Zealand,,Auckland,Auckland International Airport,Auckland Museum,Auckland Sky Tower,Bay of Islands,Hamilton,Hauraki Gulf Islands,Tiritiri Matangi Island,,"
"Hotel in Austin","United States of America,Texas,Austin,Austin-Bergstrom International,Congress Avenue Bridge,Governors Mansion,Guadalupe Mountains National Park,Jack S. Blanton Museum of Art,Ladybird Johnson Wildflower Center,Texas State Capitol,Zilker Park,,"
"Hotel in Avignon","France,,Avignon,,Palais des Papes,Petit Palais,Pont dAvignon,,"
"Hotel in Baltimore","United States of America,Maryland,Baltimore,Baltimore-Washington Airport,Baltimore and Ohio (B&O) Railroad Museum,Baltimore Museum of Art,Fort McHenry,Lacrosse Museum and National Hall of Fame,Maryland Science Center,National Aquarium,Walters Art Museum,,"
"Hotel in Bangkok","Thailand,,Bangkok,,Ayutthaya,Bangkok Butterfly Garden and Insectarium,Bangkok Children’s Discovery Museum,Bangkok National Museum,Chatuchak Market,Damnoen Saduak Floating Market,Dusit Zoo,Jim Thompson’s House,Kanchanaburi,Koh Samet,Lopburi Monkey Temple,Muay Thai,Royal Barges National Museum,Royal Grand Palace,Siam Ocean World,Snake Farm (Thai Red Cross Farm),Temple of the Golden Buddha (Wat Traimit),Temple of the Reclining Buddha (Wat Pho),Tiger Temple,Vimanmek Mansion Museum,Wat Benchamabophit (The Marble Temple),Wat Suthat and the Giant Swing,,"
"Hotel in Barcelona","Spain,,Barcelona,Barcelona Airport,Barcelona Aquarium,Barcelona Beaches,Barri Gotic,El Raval,FC Barcelona Museum and Stadium,Figueres,Guell Park,Joan Miro Foundation,La Pedrera (Casa Mila),La Rambla,La Sagrada Familia,Montjuic,Montserrat,Museum of Contemporary Art,Parc de La Ciutadella,Parque Natural de Bardenas Reales,Picasso Museum,Poble Espanyol,Tibidabo,Tossa de Mar,,"
"Hotel in Bath","United Kingdom,England,Bath,,Avon Valley Adventure and Wildlife Park,Berkeley Castle,Building of Bath Museum,Fashion Museum,Herschel Museum of Astronomy,Jane Austen Centre,Longleat,Roman Baths,,"
"Hotel in Baton Rouge","United States of America,Louisiana,Baton Rouge,Baton Rouge Airport,Lafayette,Louisiana Art and Science Museum,Old State Capitol,Rural Life Museum and Windrush Gardens,San Francisco Plantation,USS Kidd Veterans Museum,,"
"Hotel in Beijing","China,,Beijing,Beijing International,798 Space,Beihai Park,Beijing Aquarium,Beijing World Park,Chairman Mao Mausoleum,Forbidden City,Fundazzle,Great Bell Temple,Great Wall of China,Happy Valley Amusement Park (Beijing Huanle Gu),Sony ExploraScience,Summer Palace,The Beijing National Stadium,The Underground City,Tiananmen Square,Tombs of the Ming Dynasty,Zhoukoudian Cave,,"
"Hotel in Belfast","United Kingdom,Northern Ireland,Belfast,,Belfast Botanic Gardens and the Ulster Museum,Belfast Zoo,Carrick-a-Rede Rope Bridge,Cathedral Quarter,Giants Causeway,Giants Ring,St Annes Cathedral,St Georges Market,Ulster American Folk Park,,"
"Hotel in Bengaluru","India,,Bengaluru,Bengaluru Airport,Cubbon Park,Hampi,Lal Bagh,,"
"Hotel in Berlin","Germany,,Berlin,,Allied Museum,Berlin Jewish Museum,Berlin Wall East Side Gallery,Berlin Zoo-Aquarium,Berliner Dom,Brandenburg Gate,Charlottenburg Palace,Checkpoint Charlie,Gendarmenmarkt,Hamburger Bahnhof,Legoland Discovery Centre,Nature Museum,Pergamon Museum,Potsdamer Platz,Reichstag,The Story of Berlin,,"
"Hotel in Biarritz","France,,Biarritz,,,,"
"Hotel in Bilbao","Spain,,Bilbao,Bilbao Airport,Bilbao City Hall,Guggenheim Museum,Museo de Bellas Artes,Museo Vasco,Pamplona,San Sebastian,Santillana del Mar,Vitoria-Gasteiz,,"
"Hotel in Billings","United States of America,Montana,Billings,Billings Airport,Chico Hot Springs,Custer National Forest,Missoula,Moss Mansion Historic House,Pictograph Cave State Park,Western Heritage Center,Yellowstone Art Museum,Yellowstone National Park,Zoo Montana,Big Sky,"
"Hotel in Birmingham","United Kingdom,England,Birmingham,Birmingham Airport,Alton Towers,Balti Triangle,Barber Institute of Fine Arts,Birmingham Museum and Art Gallery,Drayton Manor Theme Park,Selfridges Store,,"
"Hotel in Birmingham Alabama","United States of America,Alabama,Birmingham Alabama,Birmingham Airport,Arlington Antebellum Home and Gardens,Birmingham Civil Rights Institute,Birmingham Zoo,Oak Mountain State Park,Russell Cave National Monument,Talladega Superspeedway,Vulcan Park,,"
"Hotel in Boise","United States of America,Idaho,Boise,Boise Airport,Basque Museum and Cultural Center,Bogus Basin Mountain Recreation Area,Craters of the Moon,Sun Valley,"
"Hotel in Bordeaux","France,,Bordeaux,Bordeaux Airport,Basilique St-Michel,Bordeaux Wine Country,Grand Théâtre de Bordeaux,Musée des Beaux-Arts,Vieux Bordeaux,,"
"Hotel in Boston","United States of America,Massachusetts,Boston,Boston Logan Airport,Black Heritage Trail,Boston Museum of Fine Arts,Boston Public Garden,Boston Tea Party Ship and Museum,Cambridge,Codzilla,Faneuil Hall Marketplace,Fenway Park,Freedom Trail,Harvard University,MIT Museum,New England Aquarium,Sam Adams Brewery,,"
"Hotel in Brighton","United Kingdom,England,Brighton,,Brighton Lanes,Brighton Palace Pier,Royal Pavilion,,"
"Hotel in Brisbane","Australia,Queensland,Brisbane,Brisbane Airport,Gondwana Rainforests of Australia,Lone Pine Koala Sanctuary,Sea World,South Bank,Story Bridge,The Gabba,,"
"Hotel in Bristol","United Kingdom,England,Bristol,Bristol Airport,Bristol Cathedral,Bristol City Museum and Art Gallery,Bristol Zoo and Garden,,"
"Hotel in Brussels","Belgium,,Brussels,,Belgian Centre of Comic Strip Art,Bruparck,Galeries Royales Saint Hubert,Grand Place (Central Square),Hotel de Ville,Manneken-Pis,Palais Royal,Royal Museum of Central Africa,Royal Museums of Fine Arts,,"
"Hotel in Bucharest","Romania,,Bucharest,Bucharest Airport,National History Museum,Palace of Parliament,Stavropoleos Church and Monastery,The Village Museum,,"
"Hotel in Budapest","Hungary,,Budapest,Budapest International Airport,Budapest Puppet Theatre,Chain Bridge,Fisherman’s Bastion,Gellert Hill,Great Circus,Kecskemet,Matthias Church,Memento Park,Parliament Buildings,Royal Palace,The Great Synagogue and Jewish Museum,Vidam Park,,"
"Hotel in Buenos Aires","Argentina,,Buenos Aires,Buenos Aires International (Ezeiza),Buenos Aires Botanical Gardens,Buenos Aires Zoo,Cabildo,Casa Rosada,Cathedral Metropolitana,Floralis Generica,Galileo Galilei Planetarium,La Boca,La Recoleta Cemetery,Nueve de Julio Avenue,Plaza Dorrego,Teatro Colon,,"
"Hotel in Bulawayo","Zimbabwe,,Bulawayo,Bulawayo Airport,,,"
"Hotel in Burlington","United States of America,Vermont,Burlington,Burlington International Airport,Ben and Jerrys Ice Cream Factory,Ethan Allen Homestead and Museum,Lake Champlain Chocolates,,"
"Hotel in Busan","South Korea,,Busan,Busan International Airport,Beaches in Busan,Busan Aquarium,Jeju Island,,"
"Hotel in Cairns","Australia,Queensland,Cairns,Cairns International,Bowling Green Bay National Park,Cape Tribulation,Daintree Rainforest Discovery Centre,Great Barrier Reef,Paronella Park,Riversleigh,Skyrail,The Esplanade,Tjapukai Aboriginal Cultural Park,Wildlife Dome,,"
"Hotel in Cairo","Egypt,,Cairo,Cairo International,Asfour Crystal Factory,Coptic Church of St. George (Mari Girgis),Dahshur,Dr. Ragabs Pharaonic Village,Dream Park,Egyptian Museum of Antiquities,Hanging Church (El Muallaqa, Sitt Mariam, St Mary),Khan al-Khalili,Magic Galaxy,Memphis and Saqqara,Old Cairo,Pyramids of Giza,Ramses II Statue,Saladin Citadel (Al-Qalaa),Western Desert Oases,,"
"Hotel in Calgary","Canada,Alberta,Calgary,Calgary Airport,Calaway Park,Calgary Tower,Calgary Zoo,Canada Olympic Park,Fort Calgary,Glenbow Museum,Head-Smashed-In Buffalo Jump,Heritage Park Historical Village,Moraine Lake,,"
"Hotel in Cambridge","United Kingdom,England,Cambridge,,Church of St Mary the Great,Kettles Yard,Kings College Chapel,The Fitzwilliam Museum,The Sedgwick Museum of Earth Sciences,,"
"Hotel in Canberra","Australia,Capital Territory,Canberra,Canberra International,Australian War Memorial,Cockington Green,National Gallery of Australia,,"
"Hotel in Cancun","Mexico,,Cancun,Cancun International,Cancun Beaches,Chichen Itza,Isla Mujeres,Museo Maya,Wet n Wild Cancun,,"
"Hotel in Cape Town","South Africa,,Cape Town,Cape Town Airport,Bo-Kaap,Cape Point,Cape Town Beaches,Cape Town Ostrich Ranch,Castle of Good Hope,Chapmans Peak,District Six Museum,Greenmarket Square,Hermanus,Kirstenbosch Botanical Gardens,Muizenberg,Ratanga Junction,Robben Island,Seal Island,Simonstown and Boulders Beach,South African Museum and Planetarium,St Georges Cathedral,Table Mountain,Township Tours,Two Oceans Aquarium,Victoria & Alfred (V&A) Waterfront,World of Birds and Monkey Park,,"
"Hotel in Cardiff","United Kingdom,Wales,Cardiff,Cardiff Airport,Cardiff Castle,Gower Peninsula,Llandaff Cathedral,Pembrokeshire Coast National Park,St Fagans National History Museum,Wales Millennium Centre,,"
"Hotel in Casablanca","Morocco,,Casablanca,Casablanca Airport,Casablanca Twin Centre,The King Hassan II Mosque,The Shrine of Sidi Abderrahman,,"
"Hotel in Charleston","United States of America,South Carolina,Charleston,Charleston International Airport,Angel Oak,Caw Caw Interpretive Center and Charleston County Park,Charleston Museum,Fort Sumter,Plantations,Provost Dungeon and Old Exchange Building,South Carolina Aquarium,The Hunley,,"
"Hotel in Chiang Mai","Thailand,,Chiang Mai,Chiang Mai Airport,Bhubing Palace,Chiang Mai City Arts and Cultural Center,Chiang Mai Temples,Chiang Mai Zoo,Doi Suthep,Dokmai Garden,Lisu Hill-Tribe Display,Mae Sa Waterfall,Maesa Elephant Camp,Museum of Insects and Natural Wonders,Pai,Queen Sirikit Botanic Garden,,"
"Hotel in Chicago","United States of America,Illinois,Chicago,,Adler Planetarium and Astronomy Museum,Art Institute of Chicago,Buckingham Fountain,Chicago Beaches,Chicago Botanic Gardens,Chicago Childrens Museum,Chicago Field Museum,Chicago History Museum,Chicago Loop,Frank Lloyd Wrights Home,Hancock Observatory,Lincoln Park,Magnificent Mile,Millennium Park,Navy Pier,Rockford,Route 66 Sign,Sears Tower (Willis Tower),Shedd Aquarium,Six Flags Great America,,"
"Hotel in Christchurch","New Zealand,,Christchurch,Christchurch International Airport,Akaroa,Christchurch Gondola,Christchurch Tramway,Mount Cook National Park,,"
"Hotel in Cleveland","United States of America,Ohio,Cleveland,Cleveland Hopkins International,Cedar Point Amusement Park,Great Lakes Science Center,Progressive Field,Rock and Roll Hall of Fame,,"
"Hotel in Colombo","Sri Lanka,,Colombo,Colombo Airport,Adams Peak,Colombo National Museum,Colombo Zoological Gardens,Horton Plains National Park and Worlds End,Pettah,Pinnawela Elephant Orphanage,Trincomalee,,"
"Hotel in Colorado Springs","United States of America,Colorado,Colorado Springs,Colorado Springs Airport,,,"
"Hotel in Copenhagen","Denmark,,Copenhagen,Copenhagen Airport,Bakken Amusement Park,Bornholm,Christiansborg Palace,Copenhagen Historical Museums,Copenhagen Zoo,Denmark Aquarium,Esbjerg,Experimentarium,Freetown Christiania,Legoland Billund,Nyhavn Canal,Odense,Rosenborg Castle,The Little Mermaid Statue,Tivoli Gardens,,"
"Hotel in Dallas-Fort Worth","United States of America,Texas,Dallas-Fort Worth,Dallas-Fort Worth International,Cattle Raisers Museum,Dallas Heritage Village,Dallas Holocaust Museum,Fort Worth Stockyards,Fort Worth Zoo,Modern Art Museum of Fort Worth,Six Flags Over Texas,Sixth Floor Museum,,"
"Hotel in Delft","Netherlands,,Delft,,,,"
"Hotel in Delhi","India,,Delhi,New Delhi Airport,Chandni Chowk,Humayuns Tomb,Jama Masjid,Qutub Minar,Rashtrapati Bhavan,Red Fort,,"
"Hotel in Denver","United States of America,Colorado,Denver,Denver International Airport,Boulder,Denver Art Museum,Denver Mint,Denver Museum of Nature and Science,Dinosaur National Monument,Elitch Gardens Theme Park,History Colorado Center,Mesa Verde National Park,Mount Evans,Rocky Mountain National Park,Ski resorts,,"
"Hotel in Detroit","United States of America,Michigan,Detroit,Detroit Airport,Ann Arbor,Automotive Hall of Fame,Detroit Historical Museum,Detroit Institute of Arts,Ludington,Motown Historical Museum,Saugatuck-Douglas,The Henry Ford Museum,,"
"Hotel in Dubai","United Arab Emirates,,Dubai,Dubai International Airport,Al Nasr Leisureland,Bastakiya,Bateaux Dubai Dinner Cruise,Camel Racing,Childrens City,Creekside Park,Desert Safari,Dubai Aquarium & Underwater Zoo,Dubai Creek,Dubai Dolphinarium,Dubai Mall,Dubai Museum,Dubai Souks,Grand Mosque,Hatta,Jumeirah Beach Park,Jumeirah Mosque,Kish,Musandam,Sheikh Saeed Al-Maktoum Museum,Ski Dubai,Wild Wadi,Wonderland,,"
"Hotel in Dublin","Ireland,,Dublin,Dublin Airport,Airfield House and Farm,Clonmacnoise,Dublin Castle,Dublin Zoo,Glendalough,Guinness Storehouse,Imaginosity,James Joyce Museum,National Library of Ireland,National Museums of Ireland,St. Patricks Cathedral,Temple Bar District,The Old Jameson Distillery,Trinity College Dublin,,"
"Hotel in Dubrovnik","Croatia,,Dubrovnik,Dubrovnik Airport,Cathedral Treasury,Dubrovnik City Walls,Dubrovnik Port,Dubrovnik Riviera,Elafiti Islands,Franciscan Monastery,Korcula Island,Marin Drzics House,Mljet Island,Sponza Palace,Stradun,War Photo Limited,,"
"Hotel in Durban","South Africa,,Durban,Durban International Airport,Drakensberg Mountains,Durban Botanic Gardens,Francis Farewell Square,iSimangaliso / St Lucia Wetland Park,Juma Masjid Mosque,KwaMuhle Museum,Midlands Meander,Mini Town,Moses Mabhida Stadium,Natal Sharks Board,Richards Bay,Tala Game Reserve,The BAT Centre,The Golden Mile,Umgeni River Bird Park,uShaka Marine World,Zululand Battlefields,,"
"Hotel in Durham","United Kingdom,England,Durham,Durham Tees Valley Airport,Crook Hall,Durham Castle,Durham Cathedral,Durham Heritage Centre,Fowlers Yard Creative Workspaces,,"
"Hotel in Edinburgh","United Kingdom,Scotland,Edinburgh,Edinburgh Airport,Arthurs Seat,Dumfries,Dundee,Edinburgh Castle,Edinburgh Dungeon,Edinburgh Festival Theatre,Edinburgh Zoo,Falkirk Wheel,Museum of Edinburgh,National Gallery of Scotland,Our Dynamic Earth,Palace of Holyrood House,Rosslyn Chapel,Royal Botanic Garden,Royal Mile,Royal Yacht Britannia,Scotch Whisky Experience,St Andrews,Stirling Castle,The Museum of Childhood,,"
"Hotel in Fez","Morocco,,Fez,,Karaouine Mosque,Meknes,Tanneries,,"
